class_id,class_name,split,images,instances
0,anatomy_1st_molar,all,679,2137
0,anatomy_1st_molar,train,583,1789
0,anatomy_1st_molar,val,68,246
0,anatomy_1st_molar,test,28,102
1,anatomy_1st_premolar,all,721,2543
1,anatomy_1st_premolar,train,624,2159
1,anatomy_1st_premolar,val,69,272
1,anatomy_1st_premolar,test,28,112
2,anatomy_2nd_molar,all,459,1043
2,anatomy_2nd_molar,train,396,892
2,anatomy_2nd_molar,val,48,112
2,anatomy_2nd_molar,test,15,39
3,anatomy_2nd_premolar,all,707,2405
3,anatomy_2nd_premolar,train,610,2022
3,anatomy_2nd_premolar,val,69,272
3,anatomy_2nd_premolar,test,28,111
4,anatomy_canine,all,722,2593
4,anatomy_canine,train,625,2207
4,anatomy_canine,val,69,274
4,anatomy_canine,test,28,112
5,anatomy_central_incisor,all,724,2609
5,anatomy_central_incisor,train,627,2223
5,anatomy_central_incisor,val,69,274
5,anatomy_central_incisor,test,28,112
6,anatomy_lateral_incisor,all,724,2605
6,anatomy_lateral_incisor,train,627,2219
6,anatomy_lateral_incisor,val,69,274
6,anatomy_lateral_incisor,test,28,112
7,disease_caries,all,3046,10671
7,disease_caries,train,2852,9552
7,disease_caries,val,176,935
7,disease_caries,test,18,184
8,disease_crown,all,4065,11189
8,disease_crown,train,3900,10468
8,disease_crown,val,158,698
8,disease_crown,test,7,23
9,disease_filling,all,9905,48846
9,disease_filling,train,7678,36704
9,disease_filling,val,1362,7276
9,disease_filling,test,865,4866
10,disease_implant,all,610,1782
10,disease_implant,train,590,1643
10,disease_implant,val,15,130
10,disease_implant,test,5,9
11,disease_malaligned,all,12,18
11,disease_malaligned,train,8,14
11,disease_malaligned,val,2,2
11,disease_malaligned,test,2,2
12,disease_mandibular_canal,all,320,619
12,disease_mandibular_canal,train,305,589
12,disease_mandibular_canal,val,14,28
12,disease_mandibular_canal,test,1,2
13,disease_missing_teeth,all,1644,3467
13,disease_missing_teeth,train,1635,3415
13,disease_missing_teeth,val,6,42
13,disease_missing_teeth,test,3,10
14,disease_periapical_lesion,all,2359,5250
14,disease_periapical_lesion,train,2350,5223
14,disease_periapical_lesion,val,6,17
14,disease_periapical_lesion,test,3,10
15,disease_retained_root,all,72,174
15,disease_retained_root,train,66,156
15,disease_retained_root,val,4,12
15,disease_retained_root,test,2,6
16,disease_root_canal_treatment,all,5462,19020
16,disease_root_canal_treatment,train,5020,17326
16,disease_root_canal_treatment,val,425,1643
16,disease_root_canal_treatment,test,17,51
17,disease_root_piece,all,954,2603
17,disease_root_piece,train,945,2560
17,disease_root_piece,val,6,32
17,disease_root_piece,test,3,11
18,disease_impacted_tooth,all,11369,27876
18,disease_impacted_tooth,train,8181,20859
18,disease_impacted_tooth,val,1842,4184
18,disease_impacted_tooth,test,1346,2833
19,disease_maxillary_sinus,all,233,462
19,disease_maxillary_sinus,train,216,428
19,disease_maxillary_sinus,val,16,32
19,disease_maxillary_sinus,test,1,2
20,disease_bone_loss,all,1489,3130
20,disease_bone_loss,train,1481,3112
20,disease_bone_loss,val,7,16
20,disease_bone_loss,test,1,2
21,disease_fracture_teeth,all,10,11
21,disease_fracture_teeth,train,8,9
21,disease_fracture_teeth,val,1,1
21,disease_fracture_teeth,test,1,1
22,disease_permanent_teeth,all,5,12
22,disease_permanent_teeth,train,3,8
22,disease_permanent_teeth,val,1,2
22,disease_permanent_teeth,test,1,2
23,disease_supra_eruption,all,39,48
23,disease_supra_eruption,train,35,41
23,disease_supra_eruption,val,3,5
23,disease_supra_eruption,test,1,2
24,disease_tad,all,3,4
24,disease_tad,train,1,1
24,disease_tad,val,1,1
24,disease_tad,test,1,2
25,disease_abutment,all,22,33
25,disease_abutment,train,19,26
25,disease_abutment,val,2,5
25,disease_abutment,test,1,2
26,disease_attrition,all,15,44
26,disease_attrition,train,13,34
26,disease_attrition,val,1,8
26,disease_attrition,test,1,2
27,disease_bone_defect,all,1,1
27,disease_bone_defect,train,1,1
27,disease_bone_defect,val,0,0
27,disease_bone_defect,test,0,0
28,disease_gingival_former,all,7,14
28,disease_gingival_former,train,5,11
28,disease_gingival_former,val,1,2
28,disease_gingival_former,test,1,1
29,disease_metal_band,all,36,65
29,disease_metal_band,train,34,55
29,disease_metal_band,val,1,7
29,disease_metal_band,test,1,3
30,disease_orthodontic_brackets,all,75,136
30,disease_orthodontic_brackets,train,65,117
30,disease_orthodontic_brackets,val,7,13
30,disease_orthodontic_brackets,test,3,6
31,disease_permanent_retainer,all,5,8
31,disease_permanent_retainer,train,3,4
31,disease_permanent_retainer,val,1,2
31,disease_permanent_retainer,test,1,2
32,disease_post_core,all,172,315
32,disease_post_core,train,170,308
32,disease_post_core,val,1,5
32,disease_post_core,test,1,2
33,disease_plating,all,2,8
33,disease_plating,train,1,6
33,disease_plating,val,1,2
33,disease_plating,test,0,0
34,disease_wire,all,136,231
34,disease_wire,train,132,221
34,disease_wire,val,3,8
34,disease_wire,test,1,2
35,disease_cyst,all,5,5
35,disease_cyst,train,3,3
35,disease_cyst,val,1,1
35,disease_cyst,test,1,1
36,disease_root_resorption,all,2,3
36,disease_root_resorption,train,1,2
36,disease_root_resorption,val,1,1
36,disease_root_resorption,test,0,0
37,disease_primary_teeth,all,47,228
37,disease_primary_teeth,train,43,193
37,disease_primary_teeth,val,2,16
37,disease_primary_teeth,test,2,19
