image_id,source,original_split,patient_group_hash,split,width,height,instances,issues,sha256,phash
anatomy_000108_afa2f73d,anatomy,train,anatomy_0658af56a6f64ca1172e,train,780,311,24,,bb730723da32a2dceddf28d781ef0c32b9864bdb73829baef3408e3ad95af1f3,c2943f5e2ac2f48d
anatomy_000109_1591bdca,anatomy,train,anatomy_c8580617df95f7cb344f,train,762,305,28,,39b12fd21684e097dcc5844346c3ebc8b7a7e3e9381dc0cef3c02bb3f577a1c0,c0d41f623b1d8d73
anatomy_000110_8aa4688e,anatomy,train,anatomy_c8580617df95f7cb344f,train,762,305,26,,f9d86c238d45e9b4f48d63b3e422995778c92b91a0e79fb51bb01073ab49c1de,c0d41f623b1d8d73
anatomy_000111_5336951b,anatomy,train,anatomy_49b0d1b6db2551b4adbe,train,809,356,22,,95d71fd059946de3b7f145a788fc88079a264aaa0287ed4f40b55fed1a1c3d36,d700687f6b5e7118
anatomy_000112_f89195ab,anatomy,train,anatomy_49b0d1b6db2551b4adbe,train,809,356,22,,a66d53f41693dd7a576b146370ce0d59a881e260eefc18d3333e47ea8afcc047,d700687f6b5e6518
anatomy_000113_2c27693b,anatomy,train,anatomy_49b0d1b6db2551b4adbe,train,803,323,28,,f57e31976e037d7a98f004f432c9131af615e938a728aeb6f4b11614d6e7f00c,c0ed17462fc49576
anatomy_000114_b481c815,anatomy,train,anatomy_49b0d1b6db2551b4adbe,train,720,300,24,,48208f32e59c64166108cb866f35a75a7af555ccf3b15273df50775d83706582,c1246f703e87e578
anatomy_000115_7a8c8c3a,anatomy,train,anatomy_49b0d1b6db2551b4adbe,train,720,300,24,,670bf7521d908b4bfa78d5f285bf222b109e94aedd162839f4bb7dcba5d588e7,c1246f703e87e578
anatomy_000116_ed31cc11,anatomy,train,anatomy_47d2eb5a949a5c166096,train,653,281,22,,f4c89019957d395c99893b3e1e609f8261a48da525173ca85705746e5547fdc6,85d0363c6fd2b0b9
anatomy_000117_a339fdc3,anatomy,train,anatomy_47d2eb5a949a5c166096,train,610,231,28,,9709aad2eb1ccfe354c6fed30672786cf9c631a3183fc7765e313a88ba979a41,97956ed67a78c090
anatomy_000118_bee8744e,anatomy,train,anatomy_47d2eb5a949a5c166096,train,610,231,28,,3702212e6e215b2db347f76975bb0adbe47822974505254f93e222ee8e1d1b23,97956ed67a78c090
