left,right,distance,same_patient_group
anatomy_000109_1591bdca,anatomy_000110_8aa4688e,0,True
anatomy_000111_5336951b,anatomy_000112_f89195ab,2,True
anatomy_000114_b481c815,anatomy_000115_7a8c8c3a,0,True
anatomy_000117_a339fdc3,anatomy_000118_bee8744e,0,True
anatomy_000119_a2b24f84,anatomy_000120_c0634942,0,True
anatomy_000121_ef91c5f5,anatomy_000122_7d3cc99c,2,True
anatomy_000124_f130352f,anatomy_000125_4cb06179,2,True
anatomy_000126_7f78f5cb,anatomy_000127_1580f57e,0,True
anatomy_000130_2497f325,anatomy_000131_9e7eb6c3,0,True
anatomy_000132_41e5706f,anatomy_000133_dcc45fcc,2,True
anatomy_000134_ea9d6914,anatomy_000135_00475b37,0,True
anatomy_000138_35ae2f7d,anatomy_000139_0a342751,2,True
anatomy_000143_0de2ad7d,anatomy_000144_4841cb83,2,True
anatomy_000147_a459c0ab,anatomy_000148_ff1ad3bd,2,True
anatomy_000152_aa9238a7,anatomy_000153_2fa5c962,0,True
anatomy_000157_8f5eb23d,anatomy_000158_379cec54,2,True
anatomy_000159_f35e89f8,anatomy_000160_8fe7e706,2,True
anatomy_000162_98cac3b9,anatomy_000163_a931124c,2,True
anatomy_000165_889b6db1,anatomy_000166_c5916e9d,2,True
anatomy_000167_9ac395d2,anatomy_000168_15c3fe23,0,True
anatomy_000170_cd462f75,anatomy_000171_93e27f3d,0,True
anatomy_000175_0f204681,anatomy_000176_95dd726a,2,True
anatomy_000177_52481f66,anatomy_000178_b73b5bd4,2,True
anatomy_000180_078a9167,anatomy_000181_f49d2d51,2,True
anatomy_000184_1b1531e4,anatomy_000185_09a7965f,0,True
anatomy_000187_95845994,anatomy_000188_7ccf068d,0,True
anatomy_000189_fc85ece0,anatomy_000190_828dfaf5,2,True
anatomy_000191_9123473c,anatomy_000192_53a276a3,2,True
anatomy_000195_91724b3c,anatomy_000196_0af36855,0,True
anatomy_000197_be4e7208,anatomy_000198_12a3cb14,0,True
anatomy_000200_e7073397,anatomy_000201_64c05948,0,True
anatomy_000202_92a13196,anatomy_000203_ec60a1a3,0,True
anatomy_000207_19d4fed3,anatomy_000208_e1445c1b,0,True
anatomy_000210_44f45ac5,anatomy_000211_5fe4dae8,2,True
anatomy_000212_135d466f,anatomy_000213_af7b7422,2,True
anatomy_000216_8605e4a7,anatomy_000217_1a7a01ea,0,True
anatomy_000218_3a0fc5b9,anatomy_000219_9fbbcc8b,0,True
anatomy_000220_462f608a,anatomy_000221_88d370a3,2,True
anatomy_000222_2bf7df8c,anatomy_000223_42807013,0,True
anatomy_000224_193c0fbe,anatomy_000225_b6d4b884,0,True
anatomy_000227_66293c96,anatomy_000228_8285bf57,2,True
anatomy_000234_887f86ca,anatomy_000235_ef06db6c,0,True
anatomy_000237_b5ccfbc3,anatomy_000238_895302b8,2,True
anatomy_000239_4149bc0e,anatomy_000240_57b42d10,0,True
anatomy_000241_8eca7ddf,anatomy_000242_7b33516f,0,True
anatomy_000243_916015c5,anatomy_000244_eb11844e,0,True
anatomy_000249_605303fa,anatomy_000250_f0bf4d95,0,True
anatomy_000251_870d150c,anatomy_000252_7d906569,2,True
anatomy_000254_447a416b,anatomy_000255_dc1d9f97,0,True
anatomy_000256_9f2fdd51,anatomy_000257_d08069b7,0,True
anatomy_000261_d2a4f1eb,anatomy_000262_5c15bfdb,2,True
anatomy_000263_63ad805d,anatomy_000264_686436bb,2,True
anatomy_000265_efb054b4,anatomy_000266_af2f0121,2,True
anatomy_000267_558db2fd,anatomy_000268_d264afb0,0,True
anatomy_000269_7ea0655b,anatomy_000270_6126ea55,0,True
anatomy_000274_bd468d09,anatomy_000275_799ad481,0,True
anatomy_000278_817ce641,anatomy_000279_4b801e87,2,True
anatomy_000280_1486f532,anatomy_000281_fcfbde72,0,True
anatomy_000285_2367ee68,anatomy_000286_0d92ad42,0,True
anatomy_000291_e7bb7e59,anatomy_000292_3529d897,2,True
anatomy_000293_15a06824,anatomy_000294_1fc4e0e7,0,True
anatomy_000295_2702ee3d,anatomy_000296_4df33172,2,True
anatomy_000297_d48dec30,anatomy_000298_3fdb5f4d,2,True
anatomy_000301_8e1f7566,anatomy_000302_645f83bc,0,True
anatomy_000303_f47b942c,anatomy_000304_ca7a7aab,0,True
anatomy_000305_79387e1f,anatomy_000306_3dd5a232,0,True
anatomy_000308_a456dfa3,anatomy_000309_414b1c08,0,True
anatomy_000310_228d4e1e,anatomy_000311_d888b2d6,2,True
anatomy_000312_b4151d42,anatomy_000313_b6d69bf4,2,True
anatomy_000318_c3d1e975,anatomy_000319_161a8479,0,True
anatomy_000322_0d45736a,anatomy_000323_d5278e9c,0,True
anatomy_000324_3f438e47,anatomy_000325_494ce60d,2,True
anatomy_000326_032f33a3,anatomy_000327_4913b314,0,True
anatomy_000328_699f14fe,anatomy_000329_2b6b2b7c,0,True
anatomy_000332_e4561413,anatomy_000333_b32c4ecf,2,True
anatomy_000334_591cc672,anatomy_000335_0af8356c,0,True
anatomy_000336_96e4d46b,anatomy_000337_72053003,0,True
anatomy_000338_fab52f91,anatomy_000339_b91f6dc8,0,True
anatomy_000340_b76e21d5,anatomy_000341_ade7ea71,0,True
anatomy_000342_5f7e5461,anatomy_000343_dd355dd2,2,True
anatomy_000345_1b9cad03,anatomy_000346_e01d879d,0,True
anatomy_000347_02cca591,anatomy_000348_3e8069e8,0,True
anatomy_000349_4c9c710b,anatomy_000350_4cfaee57,0,True
anatomy_000351_326ae75b,anatomy_000352_80c0beb0,0,True
anatomy_000353_6c2c7cc9,anatomy_000354_54cd377c,2,True
anatomy_000355_c448574d,anatomy_000356_da41e02a,2,True
anatomy_000357_d638b484,anatomy_000358_7ec6bcc4,0,True
anatomy_000361_3f99f647,anatomy_000362_6220d3a2,0,True
anatomy_000365_6b05d1af,anatomy_000366_04124887,0,True
anatomy_000370_a8ea4605,anatomy_000371_fa450489,0,True
anatomy_000372_4e344fdf,anatomy_000373_c2a1f6bc,2,True
anatomy_000377_11c3a784,anatomy_000378_5458bfe5,2,True
anatomy_000379_9d476927,anatomy_000380_80587430,2,True
anatomy_000384_6d2a7698,anatomy_000385_f50f236c,2,True
anatomy_000386_df738862,anatomy_000387_f2f57103,0,True
anatomy_000388_898f29fa,anatomy_000389_44abb99c,2,True
anatomy_000390_0630fcc4,anatomy_000391_57cd9b34,2,True
anatomy_000394_dd55b3f5,anatomy_000395_dab00318,2,True
anatomy_000396_bb310df2,anatomy_000397_72a2554d,2,True
anatomy_000398_60703ed6,anatomy_000399_1cd2bc06,0,True
anatomy_000401_1dd23201,anatomy_000402_1a857374,0,True
anatomy_000404_9761219a,anatomy_000405_5ca3a6a4,0,True
anatomy_000411_deb2902f,anatomy_000412_2dc39226,2,True
anatomy_000418_8b88f07e,anatomy_000419_5a28e6aa,0,True
anatomy_000421_fbef717e,anatomy_000422_486f4ee1,2,True
anatomy_000424_c0f23477,anatomy_000425_ed93cca6,0,True
anatomy_000428_fd7adee0,anatomy_000429_636922cb,0,True
anatomy_000430_cae6992e,anatomy_000431_42ea6201,0,True
anatomy_000432_1d72d11d,anatomy_000433_7748f3f2,2,True
anatomy_000441_0ce8c7fa,anatomy_000442_336a5598,0,True
anatomy_000443_450eddc0,anatomy_000444_0371318d,0,True
anatomy_000451_434f6faa,anatomy_000452_c6c0d116,2,True
anatomy_000454_48686563,anatomy_000455_d010ecd7,0,True
anatomy_000457_a52d3c31,anatomy_000458_b07fba6c,0,True
anatomy_000459_82d2221f,anatomy_000460_b8e9fbf0,0,True
anatomy_000462_fe0e9044,anatomy_000463_629dd77a,0,True
anatomy_000471_a46397b9,anatomy_000472_7bfc97c4,0,True
anatomy_000473_32238aa8,anatomy_000474_e738edf8,2,True
anatomy_000476_26507a13,anatomy_000477_5324b943,0,True
anatomy_000486_e17cbf33,anatomy_000487_02f1ff9d,0,True
anatomy_000486_e17cbf33,anatomy_000574_eca545aa,2,True
anatomy_000486_e17cbf33,anatomy_000624_b3a099b5,2,True
anatomy_000487_02f1ff9d,anatomy_000574_eca545aa,2,True
anatomy_000487_02f1ff9d,anatomy_000624_b3a099b5,2,True
anatomy_000490_ad0ade6c,anatomy_000491_89b92039,0,True
anatomy_000492_e7cf8dae,anatomy_000493_8ecb1791,2,True
anatomy_000495_d0a8ad41,anatomy_000496_1cda1ae4,0,True
anatomy_000497_b8ba00fe,anatomy_000498_f07a8544,2,True
anatomy_000499_3e082697,anatomy_000500_4ea8a7fe,2,True
anatomy_000504_d32ed1e8,anatomy_000505_c2a101d4,0,True
anatomy_000506_66f25e97,anatomy_000507_5c4488a7,2,True
anatomy_000512_02684d8a,anatomy_000513_1ea39d08,2,True
anatomy_000516_f42f9727,anatomy_000517_8a782d2d,2,True
anatomy_000519_8dc6ffd1,anatomy_000520_09adc18d,2,True
anatomy_000522_dbe7ebf8,anatomy_000523_2f249302,0,True
anatomy_000526_5b302d79,anatomy_000527_1a9143b7,2,True
anatomy_000528_988ea441,anatomy_000529_aebaeeb7,0,True
anatomy_000532_793af273,anatomy_000533_44f69038,0,True
anatomy_000534_9c96e61c,anatomy_000535_79bc5afc,0,True
