threshold,precision,recall,f1,tp,fp,fn
0.05,0.6260504201680672,0.00884272997032641,0.017439138576779027,149,89,16701
0.1,0.8163265306122449,0.004747774480712166,0.009440641963653528,80,18,16770
0.15,0.875,0.0020771513353115725,0.004144464179988158,35,5,16815
0.2,0.875,0.0008308605341246291,0.0016601446697497924,14,2,16836
0.25,1.0,0.00023738872403560832,0.0004746647680075946,4,0,16846
0.3,1.0,0.00011869436201780416,0.0002373605506764776,2,0,16848
0.35,0.0,0.0,0.0,0,0,16850
0.4,0.0,0.0,0.0,0,0,16850
0.45,0.0,0.0,0.0,0,0,16850
0.5,0.0,0.0,0.0,0,0,16850
0.55,0.0,0.0,0.0,0,0,16850
0.6,0.0,0.0,0.0,0,0,16850
0.65,0.0,0.0,0.0,0,0,16850
0.7,0.0,0.0,0.0,0,0,16850
0.75,0.0,0.0,0.0,0,0,16850
